시군구,도로명코드,도로명,영문도로명,읍면동일련번호,시도명,시군구명,읍면동구분,읍면동코드,읍면동명,상위도로코드,상위도로명,폐지구분,변경이력사유,변경이력정보,영문시도명,영문시군구명,영문읍면동명,고시일자,말소일자
11710,4169317,송이로36길,Songi-ro 36-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169318,송이로37가길,Songi-ro 37ga-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169318,송이로37가길,Songi-ro 37ga-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169319,송이로37길,Songi-ro 37-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169319,송이로37길,Songi-ro 37-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169320,송이로38길,Songi-ro 38-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169320,송이로38길,Songi-ro 38-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169321,송이로4길,Songi-ro 4-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169321,송이로4길,Songi-ro 4-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169322,송이로6길,Songi-ro 6-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169322,송이로6길,Songi-ro 6-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169323,송이로8길,Songi-ro 8-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169323,송이로8길,Songi-ro 8-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169325,송파대로14길,Songpa-daero 14-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169325,송파대로14길,Songpa-daero 14-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169326,송파대로16길,Songpa-daero 16-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169326,송파대로16길,Songpa-daero 16-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169327,송파대로18길,Songpa-daero 18-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169327,송파대로18길,Songpa-daero 18-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169328,송파대로20길,Songpa-daero 20-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169328,송파대로20길,Songpa-daero 20-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169329,송파대로22길,Songpa-daero 22-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
